year,qalys,costs,cohort_distribution,discounted_qalys,discounted_costs,cumulative_discounted_qalys,cumulative_discounted_costs
1,56112500.0,294800000000.0,[53600000.  3350000.        0. 10050000.        0.],54478155.33980583,286213592233.0097,54478155.33980583,286213592233.0097
2,54648550.0,271852500000.0,[44722500.  5527500.   268000. 15410000.  1072000.],51511499.670091435,256247054387.78397,105989655.00989726,542460646620.7937
3,52840638.75,257665250000.0,[38642250.  6875875.   629800. 18074925.  2777150.],48356669.82695586,235800204442.6467,154346324.83685312,778260851063.4404
4,50856500.75,247618851250.0,[34312626.25  7648971.25   990930.   19199352.5   4848120.  ],45185342.218689516,220006142155.38657,199531667.05554265,998266993218.827
5,48796760.829375,239297066000.0,[31094901.      8029878.8125  1305568.7    19450430.8125  7119220.675 ],42092514.54091196,206419751208.95703,241624181.59645462,1204686744427.7842
6,46722376.840187505,231512146515.625,"[28596473.303125  8148181.759375  1556288.395    19213081.47
  9485975.0725  ]",39129255.038498014,193887777937.87546,280753436.63495266,1398574522365.6597
7,44670532.79303594,223742281215.1875,"[26573959.0389375   8094204.97021875  1741256.41725    18709075.03990625
 11881504.5336875 ]",36321231.02120243,181922949584.66644,317074667.6561551,1580497471950.3262
8,42663921.57568862,215811744730.93903,"[24874948.98415781  7930095.18309531  1866415.8896925  18065992.52252188
 14262547.4205325 ]",33679293.66389415,170363784164.00507,350753961.3200493,1750861256114.3313
9,40716232.54303111,207712728609.56155,"[23402867.58401406  7698113.7035007   1940898.73743237 17357088.22066776
 16601031.7543851 ]",31205601.898973137,159194510727.1187,381959563.2190224,1910055766841.45
10,38835447.84349561,199508935602.02487,"[22095668.67066149  7426677.38268458  1974478.21248272 16624293.13616285
 18878882.59800836]",28897220.42263422,148453384948.98926,410856783.64165664,2058509151790.4392
11,37025862.05005965,191285645382.16382,"[20912846.64522208  7134672.25822042  1976268.93935267 15891471.05542995
 21084741.10177488]",26748270.529373746,138188820132.0009,437605054.1710304,2196697971922.4402
12,35289348.17680321,183125648300.9337,"[19827465.20031419  6834486.4657869   1954162.0382045  15172050.85534158
 23211835.44035282]",24751238.79633434,128440645265.56935,462356292.9673647,2325138617188.01
13,33626171.00623877,175099157966.41693,"[18821228.43513129  6534116.32883362  1914672.3440061  14473420.22918538
 25256562.66284361]",22897786.205538027,119234006248.90868,485254079.17290276,2444372623436.9185
14,32035522.50326411,167260947190.69034,"[17881407.4153662   6238613.86339936  1862999.94711096 13799457.29298343
 27217521.48114005]",21179254.345610958,110579190405.85307,506433333.51851374,2554951813842.7715
15,30515882.252526384,159650949162.02264,"[16998905.91258041  5951072.93979704  1803189.07204962 13151992.59844436
 29094839.47712857]",19586983.609135512,102473869132.87018,526020317.12764925,2657425682975.6416
16,29065264.70125328,152296295220.6042,"[16167030.91381069  5673295.98340916  1738318.1856185  12531656.90698278
 30889698.01017887]",18112512.041502427,94906016147.18678,544132829.1691517,2752331699122.8286
17,27681391.176444173,145213743091.67834,"[15380702.86543688  5406241.57942609  1670686.40860568 11938375.88886231
 32603993.25766903]",16747696.905611053,87856702733.14287,560880526.0747627,2840188401855.9717
18,26361810.65914786,138411995700.28403,"[14635942.83362146  5150323.04331322  1601979.81237806 11371661.35082233
 34240092.95986492]",15484785.428184884,81302459903.75488,576365311.5029476,2921490861759.7266
19,25103984.914658353,131893705267.5363,"[13929535.77385184  4905606.33954144  1533411.7121297  10830784.65618798
 35800661.51828903]",14316451.814127004,75217137138.52629,590681763.3170745,2996707998898.253
20,23905348.420983635,125657109015.5787,"[13258806.95146381  4671940.459181    1465836.70565411 10314881.43057647
 37288534.4531246 ]",13235811.816075215,69573294603.075,603917575.1331497,3066281293501.328
